ID,exercise,lift_date,lb,reps,set
1990,incline dumbbell press,1/13/2020,40,8,2
1991,incline dumbbell press,1/13/2020,40,8,3
1992,incline dumbbell press,1/13/2020,40,8,4
1993,incline dumbbell press,1/13/2020,40,8,5
1994,cross cable fly,1/13/2020,30,12,1
1995,cross cable fly,1/13/2020,30,12,2
1996,cross cable fly,1/13/2020,30,12,3
1997,cross cable fly,1/13/2020,30,12,4
1998,cross cable fly,1/13/2020,30,12,5
1999,tricep pushdown,1/13/2020,70,12,1
2000,tricep pushdown,1/13/2020,70,12,2
2001,tricep pushdown,1/13/2020,70,12,3
2002,tricep pushdown,1/13/2020,70,12,4
2003,tricep pushdown,1/13/2020,70,12,5
2004,deadlift,1/14/2020,185,5,1
2005,deadlift,1/14/2020,185,5,2
2006,deadlift,1/14/2020,185,5,3
2007,deadlift,1/14/2020,205,5,4
2008,deadlift,1/14/2020,205,5,5
2009,lateral pulldown,1/14/2020,90,12,1
2010,lateral pulldown,1/14/2020,90,12,2
2011,lateral pulldown,1/14/2020,90,12,3
2012,lateral pulldown,1/14/2020,90,12,4
2013,lateral pulldown,1/14/2020,90,12,5
2014,dumbbell bicep curl,1/14/2020,20,12,1
2015,dumbbell bicep curl,1/14/2020,20,12,2
2016,dumbbell bicep curl,1/14/2020,20,12,3
2017,dumbbell bicep curl,1/14/2020,20,12,4
2018,dumbbell bicep curl,1/14/2020,20,13,5
2019,crossbody hammer curl,1/14/2020,20,12,1
2020,crossbody hammer curl,1/14/2020,20,12,2
2021,crossbody hammer curl,1/14/2020,20,12,3
2022,squat,1/16/2020,185,5,1
2023,squat,1/16/2020,205,5,2
2024,squat,1/16/2020,205,5,3
2025,squat,1/16/2020,205,5,4
2026,squat,1/16/2020,205,5,5
2027,leg extension,1/16/2020,90,12,1
2028,leg extension,1/16/2020,90,12,2
2029,leg extension,1/16/2020,90,12,3
2030,leg extension,1/16/2020,90,12,4
2031,leg extension,1/16/2020,90,12,5
2032,calf raise,1/16/2020,240,12,1
2033,calf raise,1/16/2020,240,12,2
2034,calf raise,1/16/2020,240,12,3
2035,calf raise,1/16/2020,240,12,4
2036,calf raise,1/16/2020,240,12,5
2037,ab roller,1/16/2020,0,12,1
2038,ab roller,1/16/2020,0,12,2
2039,ab roller,1/16/2020,0,12,3
2040,ab roller,1/16/2020,0,12,4
2041,ab roller,1/16/2020,0,12,5
2042,reverse ab crunch,1/16/2020,0,12,1
2043,reverse ab crunch,1/16/2020,0,12,2
2044,reverse ab crunch,1/16/2020,0,12,3
2045,reverse ab crunch,1/16/2020,0,12,4
2046,reverse ab crunch,1/16/2020,0,12,5
2047,bench press,1/17/2020,155,5,1
2048,bench press,1/17/2020,175,5,2
2049,bench press,1/17/2020,185,5,3
2050,bench press,1/17/2020,185,5,4
2051,bench press,1/17/2020,155,5,5
2052,cross cable fly,1/17/2020,30,12,1
2053,cross cable fly,1/17/2020,30,12,2
2054,cross cable fly,1/17/2020,30,12,3
2055,cross cable fly,1/17/2020,30,12,4
2056,cross cable fly,1/17/2020,30,12,5
2057,tricep pushdown,1/17/2020,70,12,1
2058,tricep pushdown,1/17/2020,70,12,2
2059,tricep pushdown,1/17/2020,70,12,3
2060,tricep pushdown,1/17/2020,70,12,4
2061,tricep pushdown,1/17/2020,70,12,5
2062,deadlift,1/19/2020,185,5,1
2063,deadlift,1/19/2020,185,5,2
2064,deadlift,1/19/2020,185,5,3
2065,deadlift,1/19/2020,185,5,4
2066,deadlift,1/19/2020,185,5,5
2067,lateral pulldown,1/19/2020,90,12,1
2068,lateral pulldown,1/19/2020,90,12,2
2069,lateral pulldown,1/19/2020,90,12,3
2070,lateral pulldown,1/19/2020,90,12,4
2071,lateral pulldown,1/19/2020,90,12,5
2072,dumbbell bicep curl,1/19/2020,20,12,1
2073,dumbbell bicep curl,1/19/2020,20,12,2
2074,dumbbell bicep curl,1/19/2020,20,12,3
2075,dumbbell bicep curl,1/19/2020,20,12,4
2076,dumbbell bicep curl,1/19/2020,20,12,5
2077,crossbody hammer curl,1/19/2020,20,12,1
2078,crossbody hammer curl,1/19/2020,20,12,2
2079,crossbody hammer curl,1/19/2020,20,12,3
2080,dumbbell shoulder press,1/19/2020,20,12,1
2081,dumbbell shoulder press,1/19/2020,20,12,2
2082,dumbbell shoulder press,1/19/2020,20,12,3
2083,dumbbell shoulder press,1/19/2020,20,12,4
2084,dumbbell shoulder press,1/19/2020,20,12,5
2085,lateral raise,1/19/2020,20,12,1
2086,lateral raise,1/19/2020,20,12,2
2087,lateral raise,1/19/2020,20,12,3
2088,squat,1/20/2020,135,5,1
2089,squat,1/20/2020,185,5,2
2090,squat,1/20/2020,205,5,3
2091,squat,1/20/2020,205,5,4
2092,squat,1/20/2020,205,5,5
2093,leg extension,1/20/2020,90,12,1
2094,leg extension,1/20/2020,90,12,2
2095,leg extension,1/20/2020,90,12,3
2096,leg extension,1/20/2020,90,12,4
2097,leg extension,1/20/2020,90,12,5
2098,prone leg curl,1/20/2020,50,12,1
2099,prone leg curl,1/20/2020,50,12,2
2100,prone leg curl,1/20/2020,50,12,3
2101,prone leg curl,1/20/2020,50,12,4
2102,prone leg curl,1/20/2020,50,12,5
2103,calf raise,1/20/2020,240,12,1
2104,calf raise,1/20/2020,240,12,2
2105,calf raise,1/20/2020,240,12,3
2106,calf raise,1/20/2020,240,12,4
2107,calf raise,1/20/2020,240,12,5
2108,bench press,1/22/2020,135,5,1
2109,bench press,1/22/2020,155,5,2
2110,bench press,1/22/2020,185,5,3
2111,bench press,1/22/2020,185,5,4
2112,bench press,1/22/2020,185,5,5
2113,cross cable fly,1/22/2020,30,12,1
2114,cross cable fly,1/22/2020,30,12,2
2115,cross cable fly,1/22/2020,30,12,3
2116,cross cable fly,1/22/2020,30,12,4
2117,cross cable fly,1/22/2020,30,12,5
2118,incline dumbbell press,1/22/2020,40,8,1
2119,incline dumbbell press,1/22/2020,40,8,2
2120,incline dumbbell press,1/22/2020,40,8,3
2121,incline dumbbell press,1/22/2020,40,8,4
2122,incline dumbbell press,1/22/2020,40,8,5
2123,tricep pushdown,1/22/2020,70,12,1
2124,tricep pushdown,1/22/2020,70,12,2
2125,tricep pushdown,1/22/2020,70,12,3
2126,tricep pushdown,1/22/2020,70,12,4
2127,tricep pushdown,1/22/2020,70,12,5
2128,ab roller,1/22/2020,0,12,1
2129,ab roller,1/22/2020,0,12,2
2130,ab roller,1/22/2020,0,12,3
2131,ab roller,1/22/2020,0,12,4
2132,ab roller,1/22/2020,0,12,5
2133,deadlift,1/24/2020,185,5,1
2134,deadlift,1/24/2020,205,5,2
2135,deadlift,1/24/2020,225,5,3
2136,deadlift,1/24/2020,225,5,4
2137,deadlift,1/24/2020,205,5,5
2138,lateral pulldown,1/24/2020,90,12,1
2139,lateral pulldown,1/24/2020,90,12,2
2140,lateral pulldown,1/24/2020,90,12,3
2141,lateral pulldown,1/24/2020,90,12,4
2142,lateral pulldown,1/24/2020,90,12,5
2143,dumbbell bicep curl,1/24/2020,25,12,1
2144,dumbbell bicep curl,1/24/2020,25,12,2
2145,dumbbell bicep curl,1/24/2020,25,12,3
2146,dumbbell bicep curl,1/24/2020,25,12,4
2147,dumbbell bicep curl,1/24/2020,25,12,5
2148,crossbody hammer curl,1/24/2020,20,12,1
2149,crossbody hammer curl,1/24/2020,20,12,2
2150,crossbody hammer curl,1/24/2020,20,12,3
2151,squat,1/25/2020,185,5,1
2152,squat,1/25/2020,205,5,2
2153,squat,1/25/2020,205,5,3
2154,squat,1/25/2020,205,5,4
2155,squat,1/25/2020,205,5,5
2156,leg extension,1/25/2020,90,12,1
2157,leg extension,1/25/2020,90,12,2
2158,leg extension,1/25/2020,90,12,3
2159,leg extension,1/25/2020,90,12,4
2160,leg extension,1/25/2020,90,12,5
2161,calf raise,1/25/2020,240,12,1
2162,calf raise,1/25/2020,240,12,2
2163,calf raise,1/25/2020,240,12,3
2164,calf raise,1/25/2020,240,12,4
2165,calf raise,1/25/2020,240,12,5
2166,dumbbell shoulder press,1/25/2020,20,12,1
2167,dumbbell shoulder press,1/25/2020,20,12,2
2168,dumbbell shoulder press,1/25/2020,20,12,3
2169,dumbbell shoulder press,1/25/2020,20,12,4
2170,dumbbell shoulder press,1/25/2020,20,12,5
2171,lateral raise,1/25/2020,20,12,1
2172,lateral raise,1/25/2020,20,12,2
2173,lateral raise,1/25/2020,20,12,3
2174,lateral raise,1/25/2020,20,12,4
2175,lateral raise,1/25/2020,20,12,5
2176,bench press,1/26/2020,155,5,1
2177,bench press,1/26/2020,185,5,2
2178,bench press,1/26/2020,185,5,3
2179,bench press,1/26/2020,155,5,4
2180,bench press,1/26/2020,155,5,5
2181,cross cable fly,1/26/2020,30,12,1
2182,cross cable fly,1/26/2020,30,12,2
2183,cross cable fly,1/26/2020,30,12,3
2184,cross cable fly,1/26/2020,30,12,4
2185,cross cable fly,1/26/2020,30,12,5
2186,incline dumbbell press,1/26/2020,40,8,1
2187,incline dumbbell press,1/26/2020,40,8,2
2188,incline dumbbell press,1/26/2020,40,8,3
2189,incline dumbbell press,1/26/2020,40,8,4
2190,incline dumbbell press,1/26/2020,40,8,5
2191,tricep pushdown,1/26/2020,70,12,1
2192,tricep pushdown,1/26/2020,70,12,2
2193,tricep pushdown,1/26/2020,70,12,3
2194,tricep pushdown,1/26/2020,70,12,4
2195,tricep pushdown,1/26/2020,70,12,5
2196,reverse ab crunch,1/26/2020,0,12,1
2197,reverse ab crunch,1/26/2020,0,12,2
2198,reverse ab crunch,1/26/2020,0,12,3
2199,reverse ab crunch,1/26/2020,0,12,4
2200,reverse ab crunch,1/26/2020,0,12,5
2201,deadlift,1/28/2020,135,5,1
2202,deadlift,1/28/2020,185,5,2
2203,deadlift,1/28/2020,205,5,3
2204,deadlift,1/28/2020,225,5,4
2205,deadlift,1/28/2020,225,5,5
2206,lateral pulldown,1/28/2020,90,12,1
2207,lateral pulldown,1/28/2020,90,12,2
2208,lateral pulldown,1/28/2020,90,12,3
2209,lateral pulldown,1/28/2020,90,12,4
2210,lateral pulldown,1/28/2020,90,12,5
2211,dumbbell bicep curl,1/28/2020,25,12,1
2212,dumbbell bicep curl,1/28/2020,25,12,2
2213,dumbbell bicep curl,1/28/2020,25,12,3
2214,dumbbell bicep curl,1/28/2020,25,12,4
2215,dumbbell bicep curl,1/28/2020,25,12,5
2216,crossbody hammer curl,1/28/2020,20,12,1
2217,crossbody hammer curl,1/28/2020,20,12,2
2218,crossbody hammer curl,1/28/2020,20,12,3
2219,dumbbell shoulder press,1/28/2020,20,12,1
2220,dumbbell shoulder press,1/28/2020,20,12,2
2221,dumbbell shoulder press,1/28/2020,20,12,3
2222,dumbbell shoulder press,1/28/2020,20,12,4
2223,dumbbell shoulder press,1/28/2020,20,12,5
2224,lateral raise,1/28/2020,20,12,1
2225,lateral raise,1/28/2020,20,12,2
2226,lateral raise,1/28/2020,20,12,3
2227,squat,1/29/2020,135,5,1
2228,squat,1/29/2020,185,5,2
2229,squat,1/29/2020,205,5,3
2230,squat,1/29/2020,225,5,4
2231,squat,1/29/2020,205,5,5
2232,leg extension,1/29/2020,90,12,1
2233,leg extension,1/29/2020,90,12,2
2234,leg extension,1/29/2020,90,12,3
2235,leg extension,1/29/2020,90,12,4
2236,leg extension,1/29/2020,90,12,5
2237,calf raise,1/29/2020,240,12,1
2238,calf raise,1/29/2020,240,12,2
2239,calf raise,1/29/2020,240,12,3
2240,calf raise,1/29/2020,240,12,4
2241,calf raise,1/29/2020,240,12,5
2242,bench press,1/30/2020,155,5,1
2243,bench press,1/30/2020,185,5,2
2244,bench press,1/30/2020,205,2,3
2245,bench press,1/30/2020,185,5,4
2246,bench press,1/30/2020,155,5,5
2247,incline dumbbell press,1/30/2020,40,8,1
2248,incline dumbbell press,1/30/2020,40,8,2
2249,incline dumbbell press,1/30/2020,40,8,3
2250,incline dumbbell press,1/30/2020,40,8,4
2251,incline dumbbell press,1/30/2020,40,8,5
2252,cross cable fly,1/30/2020,30,12,1
2253,cross cable fly,1/30/2020,30,12,2
2254,cross cable fly,1/30/2020,30,12,3
2255,cross cable fly,1/30/2020,30,12,4
2256,cross cable fly,1/30/2020,30,12,5
2257,tricep pushdown,1/30/2020,70,12,1
2258,tricep pushdown,1/30/2020,70,12,2
2259,tricep pushdown,1/30/2020,70,12,3
2260,tricep pushdown,1/30/2020,70,12,4
2261,tricep pushdown,1/30/2020,70,12,5
2262,reverse ab crunch,1/30/2020,0,12,1
2263,reverse ab crunch,1/30/2020,0,12,2
2264,reverse ab crunch,1/30/2020,0,12,3
2265,reverse ab crunch,1/30/2020,0,12,4
2266,reverse ab crunch,1/30/2020,0,12,5
2267,deadlift,1/31/2020,185,5,1
2268,deadlift,1/31/2020,185,5,2
2269,deadlift,1/31/2020,185,5,3
2270,deadlift,1/31/2020,185,5,4
2271,deadlift,1/31/2020,185,5,5
2272,lateral pulldown,1/31/2020,90,12,1
2273,lateral pulldown,1/31/2020,90,12,2
2274,lateral pulldown,1/31/2020,90,12,3
2275,lateral pulldown,1/31/2020,90,12,4
2276,lateral pulldown,1/31/2020,90,12,5
2277,dumbbell bicep curl,1/31/2020,25,12,1
2278,dumbbell bicep curl,1/31/2020,25,12,2
2279,dumbbell bicep curl,1/31/2020,25,12,3
2280,dumbbell bicep curl,1/31/2020,25,12,4
2281,dumbbell bicep curl,1/31/2020,25,12,5
2282,crossbody hammer curl,1/31/2020,20,12,1
2283,crossbody hammer curl,1/31/2020,20,12,2
2284,crossbody hammer curl,1/31/2020,20,12,3
2285,dumbbell shoulder press,1/31/2020,20,12,1
2286,dumbbell shoulder press,1/31/2020,20,12,2
2287,dumbbell shoulder press,1/31/2020,20,12,3
2288,dumbbell shoulder press,1/31/2020,20,12,4
2289,dumbbell shoulder press,1/31/2020,20,12,5
2290,lateral raise,1/31/2020,20,12,1
2291,lateral raise,1/31/2020,20,12,2
2292,lateral raise,1/31/2020,20,12,3
2293,squat,2/1/2020,135,5,1
2294,squat,2/1/2020,185,5,2
2295,squat,2/1/2020,185,5,3
2296,squat,2/1/2020,185,5,4
2297,squat,2/1/2020,185,5,5
2298,leg extension,2/1/2020,90,12,1
2299,leg extension,2/1/2020,90,12,2
2300,leg extension,2/1/2020,90,12,3
2301,leg extension,2/1/2020,90,12,4
2302,leg extension,2/1/2020,90,12,5
2303,prone leg curl,2/1/2020,50,12,1
2304,prone leg curl,2/1/2020,50,12,2
2305,prone leg curl,2/1/2020,50,12,3
2306,prone leg curl,2/1/2020,50,12,4
2307,prone leg curl,2/1/2020,50,12,5
2308,calf raise,2/1/2020,240,12,1
2309,calf raise,2/1/2020,240,12,2
2310,calf raise,2/1/2020,240,12,3
2311,calf raise,2/1/2020,240,12,4
2312,calf raise,2/1/2020,240,12,5
2313,bench press,2/3/2020,155,5,1
2314,bench press,2/3/2020,185,5,2
2315,bench press,2/3/2020,185,5,3
2316,bench press,2/3/2020,185,5,4
2317,bench press,2/3/2020,155,5,5
2318,incline dumbbell press,2/3/2020,40,8,1
2319,incline dumbbell press,2/3/2020,40,8,2
2320,incline dumbbell press,2/3/2020,40,8,3
2321,incline dumbbell press,2/3/2020,40,8,4
2322,incline dumbbell press,2/3/2020,40,8,5
2323,cross cable fly,2/3/2020,30,12,1
2324,cross cable fly,2/3/2020,30,12,2
2325,cross cable fly,2/3/2020,30,12,3
2326,cross cable fly,2/3/2020,30,12,4
2327,cross cable fly,2/3/2020,30,12,5
2328,tricep pushdown,2/3/2020,70,12,1
2329,tricep pushdown,2/3/2020,70,12,2
2330,tricep pushdown,2/3/2020,70,12,3
2331,tricep pushdown,2/3/2020,70,12,4
2332,tricep pushdown,2/3/2020,70,12,5
2333,reverse ab crunch,2/3/2020,0,12,1
2334,reverse ab crunch,2/3/2020,0,12,2
2335,reverse ab crunch,2/3/2020,0,12,3
2336,reverse ab crunch,2/3/2020,0,12,4
2337,reverse ab crunch,2/3/2020,0,12,5
2338,lateral pulldown,2/5/2020,90,12,1
2339,lateral pulldown,2/5/2020,90,12,2
2340,lateral pulldown,2/5/2020,90,12,3
2341,lateral pulldown,2/5/2020,90,12,4
2342,lateral pulldown,2/5/2020,90,12,5
2343,deadlift,2/5/2020,185,5,1
2344,deadlift,2/5/2020,185,5,2
2345,deadlift,2/5/2020,205,5,3
2346,deadlift,2/5/2020,205,5,4
2347,deadlift,2/5/2020,205,5,5
2348,dumbbell bicep curl,2/5/2020,25,12,1
2349,dumbbell bicep curl,2/5/2020,25,12,2
2350,dumbbell bicep curl,2/5/2020,25,12,3
2351,dumbbell bicep curl,2/5/2020,25,12,4
2352,dumbbell bicep curl,2/5/2020,25,12,5
2353,crossbody hammer curl,2/5/2020,20,12,1
2354,crossbody hammer curl,2/5/2020,20,12,2
2355,crossbody hammer curl,2/5/2020,20,12,3
2356,squat,2/6/2020,185,5,1
2357,squat,2/6/2020,185,5,2
2358,squat,2/6/2020,185,5,3
2359,squat,2/6/2020,185,5,4
2360,squat,2/6/2020,185,5,5
2361,leg extension,2/6/2020,90,12,1
2362,leg extension,2/6/2020,90,12,2
2363,leg extension,2/6/2020,90,12,3
2364,leg extension,2/6/2020,90,12,4
2365,leg extension,2/6/2020,90,12,5
2366,calf raise,2/6/2020,240,12,1
2367,calf raise,2/6/2020,240,12,2
2368,calf raise,2/6/2020,240,12,3
2369,calf raise,2/6/2020,240,12,4
2370,calf raise,2/6/2020,240,12,5
2371,dumbbell shoulder press,2/6/2020,20,12,1
2372,dumbbell shoulder press,2/6/2020,20,12,2
2373,dumbbell shoulder press,2/6/2020,20,12,3
2374,dumbbell shoulder press,2/6/2020,20,12,4
2375,dumbbell shoulder press,2/6/2020,20,12,5
2376,lateral raise,2/6/2020,20,12,1
2377,lateral raise,2/6/2020,20,12,2
2378,lateral raise,2/6/2020,20,12,3
2379,bench press,2/7/2020,135,5,1
2380,bench press,2/7/2020,155,5,2
2381,bench press,2/7/2020,185,5,3
2382,bench press,2/7/2020,185,5,4
2383,bench press,2/7/2020,185,5,5
2384,incline dumbbell press,2/7/2020,45,8,1
2385,incline dumbbell press,2/7/2020,45,8,2
2386,incline dumbbell press,2/7/2020,45,8,3
2387,incline dumbbell press,2/7/2020,45,8,4
2388,incline dumbbell press,2/7/2020,45,8,5
2389,cross cable fly,2/7/2020,30,12,1
2390,cross cable fly,2/7/2020,30,12,2
2391,cross cable fly,2/7/2020,30,12,3
2392,cross cable fly,2/7/2020,30,12,4
2393,cross cable fly,2/7/2020,30,12,5
2394,tricep pushdown,2/7/2020,70,12,1
2395,tricep pushdown,2/7/2020,70,12,2
2396,tricep pushdown,2/7/2020,70,12,3
2397,tricep pushdown,2/7/2020,70,12,4
2398,tricep pushdown,2/7/2020,70,12,5
2399,deadlift,2/8/2020,185,5,1
2400,deadlift,2/8/2020,205,5,2
2401,deadlift,2/8/2020,205,5,3
2402,deadlift,2/8/2020,205,5,4
2403,deadlift,2/8/2020,185,5,5
2404,lateral pulldown,2/8/2020,90,12,1
2405,lateral pulldown,2/8/2020,90,12,2
2406,lateral pulldown,2/8/2020,90,12,3
2407,lateral pulldown,2/8/2020,90,12,4
2408,lateral pulldown,2/8/2020,90,12,5
2409,dumbbell bicep curl,2/8/2020,25,12,1
2410,dumbbell bicep curl,2/8/2020,25,12,2
2411,dumbbell bicep curl,2/8/2020,25,12,3
2412,dumbbell bicep curl,2/8/2020,25,12,4
2413,dumbbell bicep curl,2/8/2020,25,12,5
2414,crossbody hammer curl,2/8/2020,20,12,1
2415,crossbody hammer curl,2/8/2020,20,12,2
2416,crossbody hammer curl,2/8/2020,20,12,3
2417,ab roller,2/8/2020,0,12,1
2418,ab roller,2/8/2020,0,12,2
2419,ab roller,2/8/2020,0,12,3
2420,ab roller,2/8/2020,0,12,4
2421,ab roller,2/8/2020,0,12,5
2422,squat,2/9/2020,185,5,1
2423,squat,2/9/2020,185,5,2
2424,squat,2/9/2020,185,5,3
2425,squat,2/9/2020,185,5,4
2426,squat,2/9/2020,185,5,5
2427,leg extension,2/9/2020,90,12,1
2428,leg extension,2/9/2020,90,12,2
2429,leg extension,2/9/2020,90,12,3
2430,leg extension,2/9/2020,90,12,4
2431,leg extension,2/9/2020,90,12,5
2432,calf raise,2/9/2020,240,12,1
2433,calf raise,2/9/2020,240,12,2
2434,calf raise,2/9/2020,240,12,3
2435,calf raise,2/9/2020,240,12,4
2436,calf raise,2/9/2020,240,12,5
2437,dumbbell shoulder press,2/9/2020,25,12,1
2438,dumbbell shoulder press,2/9/2020,25,12,2
2439,dumbbell shoulder press,2/9/2020,25,12,3
2440,dumbbell shoulder press,2/9/2020,25,12,4
2441,dumbbell shoulder press,2/9/2020,25,12,5
2442,lateral raise,2/9/2020,20,12,1
2443,lateral raise,2/9/2020,20,12,2
2444,lateral raise,2/9/2020,20,12,3
2445,lateral raise,2/9/2020,20,12,4
2446,lateral raise,2/9/2020,20,12,5
2447,incline dumbbell press,2/10/2020,45,8,1
2448,incline dumbbell press,2/10/2020,45,8,2
2449,incline dumbbell press,2/10/2020,45,8,3
2450,incline dumbbell press,2/10/2020,45,8,4
2451,incline dumbbell press,2/10/2020,45,8,5
2452,bench press,2/10/2020,155,5,1
2453,bench press,2/10/2020,185,5,2
2454,bench press,2/10/2020,185,5,3
2455,bench press,2/10/2020,135,5,4
2456,bench press,2/10/2020,135,5,5
2457,cross cable fly,2/10/2020,30,12,1
2458,cross cable fly,2/10/2020,30,12,2
2459,cross cable fly,2/10/2020,30,12,3
2460,cross cable fly,2/10/2020,30,12,4
2461,cross cable fly,2/10/2020,30,12,5
2462,tricep pushdown,2/10/2020,70,12,1
2463,tricep pushdown,2/10/2020,70,12,2
2464,tricep pushdown,2/10/2020,70,12,3
2465,tricep pushdown,2/10/2020,70,12,4
2466,tricep pushdown,2/10/2020,70,12,5
2467,deadlift,2/12/2020,185,5,1
2468,deadlift,2/12/2020,185,5,2
2469,deadlift,2/12/2020,205,5,3
2470,deadlift,2/12/2020,205,5,4
2471,deadlift,2/12/2020,205,5,5
2472,lateral pulldown,2/12/2020,90,12,1
2473,lateral pulldown,2/12/2020,90,12,2
2474,lateral pulldown,2/12/2020,90,12,3
2475,lateral pulldown,2/12/2020,90,12,4
2476,lateral pulldown,2/12/2020,90,12,5
2477,dumbbell bicep curl,2/12/2020,25,12,1
2478,dumbbell bicep curl,2/12/2020,25,12,2
2479,dumbbell bicep curl,2/12/2020,25,12,3
2480,dumbbell bicep curl,2/12/2020,25,12,4
2481,dumbbell bicep curl,2/12/2020,25,12,5
2482,crossbody hammer curl,2/12/2020,20,12,1
2483,crossbody hammer curl,2/12/2020,20,12,2
2484,crossbody hammer curl,2/12/2020,20,12,3
2485,ab roller,2/12/2020,0,12,1
2486,ab roller,2/12/2020,0,12,2
2487,ab roller,2/12/2020,0,12,3
2488,ab roller,2/12/2020,0,12,4
2489,ab roller,2/12/2020,0,12,5
2490,squat,2/13/2020,185,5,1
2491,squat,2/13/2020,205,5,2
2492,squat,2/13/2020,205,5,3
2493,squat,2/13/2020,205,5,4
2494,squat,2/13/2020,205,5,5
2495,leg extension,2/13/2020,90,12,1
2496,leg extension,2/13/2020,90,12,2
2497,leg extension,2/13/2020,90,12,3
2498,leg extension,2/13/2020,90,12,4
2499,leg extension,2/13/2020,90,12,5
2500,calf raise,2/13/2020,240,12,1
2501,calf raise,2/13/2020,240,12,2
2502,calf raise,2/13/2020,240,12,3
2503,calf raise,2/13/2020,240,12,4
2504,calf raise,2/13/2020,240,12,5
2505,dumbbell shoulder press,2/13/2020,25,12,1
2506,dumbbell shoulder press,2/13/2020,25,12,2
2507,dumbbell shoulder press,2/13/2020,25,12,3
2508,dumbbell shoulder press,2/13/2020,25,12,4
2509,dumbbell shoulder press,2/13/2020,25,12,5
2510,lateral raise,2/13/2020,20,12,1
2511,lateral raise,2/13/2020,20,12,2
2512,lateral raise,2/13/2020,20,12,3
2513,bench press,2/15/2020,155,5,1
2514,bench press,2/15/2020,185,5,2
2515,bench press,2/15/2020,185,5,3
2516,bench press,2/15/2020,185,5,4
2517,bench press,2/15/2020,155,5,5
2518,incline dumbbell press,2/15/2020,45,8,1
2519,incline dumbbell press,2/15/2020,45,8,2
2520,incline dumbbell press,2/15/2020,45,8,3
2521,incline dumbbell press,2/15/2020,45,8,4
2522,incline dumbbell press,2/15/2020,45,8,5
2523,cross cable fly,2/15/2020,30,12,1
2524,cross cable fly,2/15/2020,30,12,2
2525,cross cable fly,2/15/2020,30,12,3
2526,cross cable fly,2/15/2020,30,12,4
2527,cross cable fly,2/15/2020,30,12,5
2528,tricep pushdown,2/15/2020,70,12,1
2529,tricep pushdown,2/15/2020,70,12,2
2530,tricep pushdown,2/15/2020,70,12,3
2531,tricep pushdown,2/15/2020,70,12,4
2532,tricep pushdown,2/15/2020,70,12,5
2533,ab roller,2/15/2020,0,12,1
2534,ab roller,2/15/2020,0,12,2
2535,ab roller,2/15/2020,0,12,3
2536,ab roller,2/15/2020,0,12,4
2537,ab roller,2/15/2020,0,12,5
2538,reverse ab crunch,2/15/2020,0,12,1
2539,reverse ab crunch,2/15/2020,0,12,2
2540,reverse ab crunch,2/15/2020,0,12,3
2541,reverse ab crunch,2/15/2020,0,12,4
2542,reverse ab crunch,2/15/2020,0,12,5
2543,deadlift,2/16/2020,185,5,1
2544,deadlift,2/16/2020,185,5,2
2545,deadlift,2/16/2020,185,5,3
2546,deadlift,2/16/2020,185,5,4
2547,deadlift,2/16/2020,185,5,5
2548,lateral pulldown,2/16/2020,90,12,1
2549,lateral pulldown,2/16/2020,90,12,2
2550,lateral pulldown,2/16/2020,90,12,3
2551,lateral pulldown,2/16/2020,90,12,4
2552,lateral pulldown,2/16/2020,90,12,5
2553,dumbbell bicep curl,2/16/2020,25,12,1
2554,dumbbell bicep curl,2/16/2020,25,12,2
2555,dumbbell bicep curl,2/16/2020,25,12,3
2556,dumbbell bicep curl,2/16/2020,25,12,4
2557,dumbbell bicep curl,2/16/2020,25,12,5
2558,crossbody hammer curl,2/16/2020,20,12,1
2559,crossbody hammer curl,2/16/2020,20,12,2
2560,crossbody hammer curl,2/16/2020,20,12,3
2561,squat,2/17/2020,185,5,1
2562,squat,2/17/2020,185,5,2
2563,squat,2/17/2020,185,5,3
2564,squat,2/17/2020,185,5,4
2565,squat,2/17/2020,185,5,5
2566,leg extension,2/17/2020,90,12,1
2567,leg extension,2/17/2020,90,12,2
2568,leg extension,2/17/2020,90,12,3
2569,leg extension,2/17/2020,90,12,4
2570,leg extension,2/17/2020,90,12,5
2571,calf raise,2/17/2020,240,12,1
2572,calf raise,2/17/2020,240,12,2
2573,calf raise,2/17/2020,240,12,3
2574,calf raise,2/17/2020,240,12,4
2575,calf raise,2/17/2020,240,12,5
2576,dumbbell shoulder press,2/17/2020,25,12,1
2577,dumbbell shoulder press,2/17/2020,25,12,2
2578,dumbbell shoulder press,2/17/2020,25,12,3
2579,dumbbell shoulder press,2/17/2020,25,12,4
2580,dumbbell shoulder press,2/17/2020,25,12,5
2581,lateral raise,2/17/2020,20,12,1
2582,lateral raise,2/17/2020,20,12,2
2583,lateral raise,2/17/2020,20,12,3
2584,bench press,2/19/2020,155,5,1
2585,bench press,2/19/2020,185,5,2
2586,bench press,2/19/2020,205,2,3
2587,bench press,2/19/2020,185,5,4
2588,bench press,2/19/2020,155,5,5
2589,cross cable fly,2/19/2020,30,12,1
2590,cross cable fly,2/19/2020,30,12,2
2591,cross cable fly,2/19/2020,30,12,3
2592,cross cable fly,2/19/2020,30,12,4
2593,cross cable fly,2/19/2020,30,12,5
2594,incline dumbbell press,2/19/2020,45,8,1
2595,incline dumbbell press,2/19/2020,45,8,2
2596,incline dumbbell press,2/19/2020,45,8,3
2597,incline dumbbell press,2/19/2020,45,8,4
